Age,Team,League,G,AST,STL,REB,BLK,PTS
19,CLE,NBA,79,5.9,1.6,5.5,0.7,20.9
20,CLE,NBA,80,7.2,2.2,7.4,0.7,27.2
21,CLE,NBA,79,6.6,1.6,7.0,0.8,31.4
22,CLE,NBA,78,6.0,1.6,6.7,0.7,27.3
23,CLE,NBA,75,7.2,1.8,7.9,1.1,30.0
24,CLE,NBA,81,7.2,1.7,7.6,1.1,28.4
25,CLE,NBA,76,8.6,1.6,7.3,1.0,29.7
26,MIA,NBA,79,7.0,1.6,7.5,0.6,26.7
27,MIA,NBA,62,6.2,1.9,7.9,0.8,27.1
28,MIA,NBA,76,7.3,1.7,8.0,0.9,26.8
29,MIA,NBA,77,6.3,1.6,6.9,0.3,27.1
30,CLE,NBA,69,7.4,1.6,6.0,0.7,25.3
31,CLE,NBA,76,6.8,1.4,7.4,0.6,25.3
32,CLE,NBA,74,8.7,1.2,8.6,0.6,26.4
33,CLE,NBA,82,9.1,1.4,8.6,0.9,27.5
34,LAL,NBA,55,8.3,1.3,8.5,0.6,27.4
35,LAL,NBA,67,10.2,1.2,7.8,0.5,25.3
36,LAL,NBA,45,7.8,1.1,7.7,0.6,25.0
37,LAL,NBA,56,6.2,1.3,8.2,1.1,30.3
38,LAL,NBA,55,6.8,0.9,8.3,0.6,28.9
39,LAL,NBA,71,8.3,1.3,7.3,0.5,25.7
,,NBA,1492,7.4,1.5,7.5,0.7,27.1
,,,,,,,,
,CLE,NBA,849,7.3,1.6,7.3,0.8,27.2
,LAL,NBA,349,8.0,1.2,7.9,0.6,27.0
,MIA,NBA,294,6.7,1.7,7.6,0.7,26.9
